                                       Count	% All	% Overflowing
===> Overflow Analysis <===
Valid packages processed:              1172
... containing any overflows:          413 	35%
== Undefined ==
... containing undefined overflows:    197 	16%	47%
... containing signed overflows:       73 	6%	17%
... containing shift overflows:        174 	14%	42%
... containing signed negation errs:   17 	1%	4%
... containing division errs:          1 	0%	0%
== Not Undefined ==
... containing unsigned overflows:     355 	30%	85%
... containing unsigned negation errs: 64 	5%	15%

===> General Package Stats <===
Processed:                      10000
Success:                        8440
Fail:                           1560
C/C++:                          4852
Overflowing:                    499
Loaded IOC-instr code:          3371
== Ignoring Configure Tests ==
Overflowing:                    417
Loaded IOC-instr code:          1172

===> Run Stats <===
ETA for run completion:         0 days 0 hours 0 mins
Packages remaining:             0

====================================================================================
Package Name                   | Any | Signd | Shift | SNeg  | Div   | Usign | UNeg 
====================================================================================
a2jmidid ..................... | ... | ..... | ..... | ..... | ..... | ..... | .....
a2ps ......................... | ... | ..... | ..... | ..... | ..... | ..... | .....
acpica-unix .................. | Yes | ..... | ..... | ..... | ..... | Usign | .....
admesh ....................... | ... | ..... | ..... | ..... | ..... | ..... | .....
adns ......................... | Yes | ..... | Shift | ..... | ..... | Usign | .....
adonthell .................... | ... | ..... | ..... | ..... | ..... | ..... | .....
advi ......................... | ... | ..... | ..... | ..... | ..... | ..... | .....
aespipe ...................... | Yes | ..... | ..... | ..... | ..... | Usign | .....
alevt ........................ | ... | ..... | ..... | ..... | ..... | ..... | .....
alpine ....................... | ... | ..... | ..... | ..... | ..... | ..... | .....
altree ....................... | ... | ..... | ..... | ..... | ..... | ..... | .....
amule ........................ | Yes | ..... | ..... | ..... | ..... | Usign | .....
anthy ........................ | Yes | Signd | ..... | ..... | ..... | ..... | .....
apache2 ...................... | ... | ..... | ..... | ..... | ..... | ..... | .....
apcalc ....................... | Yes | Signd | Shift | ..... | ..... | Usign | UNeg 
apr .......................... | Yes | Signd | Shift | ..... | ..... | Usign | .....
apr-util ..................... | Yes | ..... | ..... | ..... | ..... | Usign | .....
apt .......................... | Yes | ..... | ..... | ..... | ..... | Usign | .....
aqsis ........................ | Yes | ..... | ..... | ..... | ..... | Usign | .....
aranym ....................... | Yes | ..... | Shift | ..... | ..... | ..... | UNeg 
argtable2 .................... | ... | ..... | ..... | ..... | ..... | ..... | .....
argyll ....................... | ... | ..... | ..... | ..... | ..... | ..... | .....
arp-scan ..................... | Yes | ..... | ..... | ..... | ..... | Usign | .....
at ........................... | ... | ..... | ..... | ..... | ..... | ..... | .....
audit ........................ | Yes | ..... | ..... | ..... | ..... | Usign | UNeg 
aufs-tools ................... | ... | ..... | ..... | ..... | ..... | ..... | .....
autogen ...................... | Yes | ..... | ..... | ..... | ..... | Usign | .....
avinfo ....................... | ... | ..... | ..... | ..... | ..... | ..... | .....
babl ......................... | Yes | Signd | Shift | ..... | ..... | ..... | .....
bar .......................... | ... | ..... | ..... | ..... | ..... | ..... | .....
bash ......................... | Yes | ..... | ..... | ..... | ..... | Usign | UNeg 
bcron ........................ | ... | ..... | ..... | ..... | ..... | ..... | .....
bglibs ....................... | Yes | ..... | ..... | ..... | ..... | Usign | UNeg 
bible-kjv .................... | ... | ..... | ..... | ..... | ..... | ..... | .....
bibletime .................... | ... | ..... | ..... | ..... | ..... | ..... | .....
bibtool ...................... | ... | ..... | ..... | ..... | ..... | ..... | .....
bibutils ..................... | Yes | ..... | ..... | ..... | ..... | Usign | .....
bind9 ........................ | ... | ..... | ..... | ..... | ..... | ..... | .....
bisonc++ ..................... | ... | ..... | ..... | ..... | ..... | ..... | .....
bitcoin ...................... | Yes | ..... | ..... | ..... | ..... | Usign | .....
bitops ....................... | ... | ..... | ..... | ..... | ..... | ..... | .....
blcr ......................... | ... | ..... | ..... | ..... | ..... | ..... | .....
blender ...................... | Yes | ..... | ..... | ..... | ..... | Usign | .....
